SN,filename,z,obsframe,phase,e_phase,dm15,e_dm15
1993ac,sn1993ac-19931108-ui.flm,0.04900056558460854,True,28.542745670889893,0.7032005138222043,1.0975347574405971,0.03962931558933076
1998ef,sn1998ef-19990122-uvoir.flm,0.017738938582637725,True,85.53087580962934,0.10148826813660546,1.2799901351647434,0.007062011967705445
2000cx,sn2000cx-20001221-ui.flm,0.007928818542860075,True,145.42299659468492,0.15057661912053472,1.2651287986007524,0.010889792699483505
2001ep,sn2001ep-20011025-ui-corrected.flm,0.01300899971272793,True,7.803292148402174,0.16886808961786332,1.1331449309667496,0.02329058794272168
2002eu,sn2002eu-20021001.237-ui-corrected.flm,0.037626029938351555,True,26.996325692903408,0.24040448859218616,1.731494285598279,0.010318292825427958
2004bg,sn2004bg-20040512.298-ui.flm,0.021041223125099432,True,28.35224615219069,0.22230815049138106,1.024367881449764,0.01757732289233618
2005cf,sn2005cf-20050611.205-ui.flm,0.006461136523988205,True,-1.637193946037657,0.07788334085786096,1.122655974768891,0.0075430469681217315
2006ax,sn2006ax-20060428.224-ui.flm,0.016741581937995253,True,25.684009057862973,0.77,0.976,0.061
2007F,sn2007f-20070218.420-ui.flm,0.023589652812413313,True,24.998503970507695,0.09137999999999999,1.0964200000000002,0.01193
2007fb,sn2007fb-20070720.396-ui.flm,0.01802913934546012,True,13.668469263014103,0.16025,1.35299,0.016040000000000002
2008ds,sn2008ds-20080831.468-ui.flm,0.021031216202243488,True,56.824815029465526,0.14632,0.8651700000000001,0.00981
2011fe,ptf11kly-20110930.119-ur.flm,0.0008,True,18.888778982810553,0.05712999999999999,1.0957700000000001,0.00505
2014J,sn2014j-20141024-br.flm,0.000677,True,263.7828989773904,0.12762,0.9523,0.02005
2017fgc,sn2017fgc-20170914.459.coadd-ui.flm,0.00808,True,54.49944449448009,0.37919,0.83995,0.00842
1995D,sn1995D-19950404.23-fast.flm,0.0067,True,43.158960106825205,0.16021993251251554,0.8862456519147554,0.011999756061181787
1996ai,sn1996ai-19960621.23-fast.flm,0.0029,True,-1.281288899903707,0.3754563576270595,1.1123752668617428,0.03575678509082696
1997do,sn1997do-19971204.33-fast.flm,0.0101,True,19.95138508999973,0.22501889519694696,1.088327705430363,0.022723370207302508
1998dm,sn1998dm-19980911.33-fast.flm,0.0065,True,7.037136991565501,0.1162820434001382,1.0076597808457062,0.01519501231190364
1999aa,sn1999aa-19990322.27-fast.flm,0.0144,True,26.988097523344578,0.12936150435420835,0.8855756416513545,0.013544077131844596
1999cl,sn1999cl-19990614.18-fast.flm,0.0078,True,2.285030146670175,0.2247885306793652,1.1439620705171092,0.02585786524260461
1999gp,sn1999gp-20000107.13-fast.flm,0.0267,True,0.4409290390700701,0.12049782216465645,1.076261428998724,0.014297834559443768
2000fa,sn2000fa-20001203.48-fast.flm,0.0213,True,-10.086055941904359,0.12487920594759408,0.9740638315359476,0.011809570082042236
2001az,sn2001az-20010618.39-mmt.flm,0.0407,True,44.746393827346395,0.5876939959244621,1.015802512377164,0.04277934764086643
2001ep,sn2001ep-20011010.49-fast.flm,0.013,True,-7.069294004224902,0.16886808961786332,1.1331449309667496,0.02329058794272168
2002bo,sn2002bo-20020318.27-fast.flm,0.0043,True,-5.0032144386009865,0.12390809585425615,1.1049012960324271,0.013591007500967691
2002cs,sn2002cs-20020508.47-fast.flm,0.0158,True,-7.668247649911114,0.1679101173245772,1.0967052454350654,0.019666295931223945
2002fk,sn2002fk-20021010.43-fast.flm,0.0075,True,10.219729181560202,0.10185870916297002,1.0272380475042149,0.010405435980489288
2003W,sn2003W-20030130.31-fast.flm,0.0201,True,-10.140049676152882,0.2271050545627847,1.1296389607593924,0.02915918570781484
2003du,sn2003du-20030523.22-fast.flm,0.0064,True,16.400086570887805,0.11394285371853108,1.0552477951641548,0.006672112410656358
